raw_wind,normal_val
4.07843,-0.291749
4.26749,-0.208955
5.1375,0.158225
5.13899,0.158837
5.51227,0.310892
5.20431,0.185647
4.79911,0.0177819
4.8272,0.0295475
5.04768,0.121205
4.24704,-0.217849
5.05675,0.124951
5.05753,0.125271
4.94931,0.0804529
6.10763,0.548371
6.90232,0.857925
6.55843,0.724862
5.95335,0.487354
6.15941,0.568777
5.68869,0.381858
5.59517,0.344305
5.74259,0.403431
5.90029,0.466291
5.51987,0.313962
5.83755,0.44133
5.32411,0.234589
6.03894,0.521246
6.50839,0.705391
5.99827,0.505155
6.0526,0.526647
5.4382,0.280936
4.46657,-0.123071
4.37407,-0.162821
4.43539,-0.136441
4.87997,0.05159
4.50553,-0.106404
4.58877,-0.0709508
4.58886,-0.070913
4.41353,-0.145831
4.93185,0.0731968
5.43774,0.280747
5.43654,0.280263
5.59988,0.346201
5.03385,0.115486
4.74364,-0.0055041
6.42964,0.674694
6.12258,0.554266
5.60205,0.347073
6.18009,0.576915
7.00891,0.89893
6.30302,0.625179
6.65483,0.762287
6.92708,0.867463
6.62381,0.750257
5.95719,0.488881
5.80197,0.427148
5.58466,0.340078
5.0142,0.10736
5.93315,0.479343
5.46927,0.293512
6.64896,0.760013
6.53653,0.716344
7.04522,0.912873
7.09833,0.933245
6.83627,0.832463
6.67863,0.771514
6.37154,0.651996
6.67571,0.770382
6.58171,0.733908
6.26175,0.608999
6.04155,0.522281
6.28489,0.618074
5.98711,0.500738
5.78635,0.420913
4.94542,0.0788367
4.64868,-0.0455562
4.46485,-0.123807
3.70798,-0.457976
3.94378,-0.351517
3.74585,-0.440711
4.36582,-0.166378
4.40567,-0.149209
4.17903,-0.247536
4.54967,-0.087581
5.25944,0.208204
5.27208,0.213366
4.77352,0.00704928
3.76551,-0.43178
3.41382,-0.59442
4.55017,-0.0873684
4.9888,0.0968372
4.24025,-0.220806
4.28458,-0.201534
3.77034,-0.429587
5.54079,0.322403
6.02417,0.515406
5.60567,0.348528
6.24996,0.60437
6.77735,0.809711
7.29912,1.01005
6.27717,0.615047
6.11383,0.550816
7.03624,0.909424
6.73209,0.79221
7.04441,0.912564
6.85155,0.838358
6.79265,0.815622
6.53721,0.716608
6.72588,0.789808
6.87073,0.845753
6.24734,0.603344
5.94065,0.482317
5.94052,0.482268
6.30335,0.625309
6.30325,0.62527
5.76596,0.412774
6.28334,0.617467
6.33048,0.635933
